sender,timestamp,text
-1.0012E+12,2024-09-28 07:32:14+00:00,"💥 Smart Mini Massager Patch 
        💯High Quality 

👉 አንገት፣ጀርባ፣እጅ እና ሌሎች የሰውነት ክፍሎች ላይ በማስቀመጥ ማሳጅ ማድረጊያ

👉Helps relieve tiredness, relax muscles, improve blood circulation and burn fat

📍Auto off timer 
📍8 different massage modes 
📍Working Hours: 15 minutes
📍Battery Capacity: 180mAh
📍100% brand new and high quality
📍Small size, lightweight, easy to carry and store

👉Massage part: neck/back/waist/hip / leg and other parts


#Package_Included 
1*Patch
1*Instruction,
1*charging cable


          ዋጋ፦ ✅ 600 ብር

አድራሻ  ቁ.1👉 ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214

👍ለቡ ቅርንጫፍ📲0973611819


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
-1.0012E+12,2024-09-28 07:23:17+00:00,"💥 Smart Mini Massager Patch 
        💯High Quality 

👉 አንገት፣ጀርባ፣እጅ እና ሌሎች የሰውነት ክፍሎች ላይ በማስቀመጥ ማሳጅ ማድረጊያ

👉Helps relieve tiredness, relax muscles, improve blood circulation and burn fat

📍Auto off timer 
📍8 different massage modes 
📍Working Hours: 15 minutes
📍Battery Capacity: 180mAh
📍100% brand new and high quality
📍Small size, lightweight, easy to carry and store

👉Massage part: neck/back/waist/hip / leg and other parts


#Package_Included 
1*Patch
1*Instruction,
1*charging cable


          ዋጋ፦ ✅ 600 ብር

አድራሻ  ቁ.1👉 ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214

👍ለቡ ቅርንጫፍ📲0973611819


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
-1.0012E+12,2024-09-27 07:12:34+00:00,"💥ለመላዉ የክርስትና እምንነት ተከታይ ደንበኞቻችን በሙሉ እንኳን ለብርሃነ መስቀሉ  በሰላም አደረሳችሁ።

      በአንድነት  ፣ በፍቅር እና በመተሳሰብ የተሞላ በዓል እንዲሆንልዎ ከልብ እንመኛለን!
         
🏢 አድራሻ 📍ቁ.1 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214

ቁ.2👉 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)




    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
-1.0012E+12,2024-09-26 09:20:40+00:00,"💥SOKANY 3 in1 Blender /Grinder

የጁስ የቡና የቅመም መፍጫ 

⚡️Sokany Blender with 1.5 liters of capacity.
⚡️ Three pieces : Glass Blender , Plastic Blender and Chopper.
⚡️ 5 speed function with high quality stainless steel blades.
⚡️ 1000watt
⚡️copper motor
⚡️ice breaker
⚡️ ከ 1 አመት ዋስትና ጋር

ዋጋ፦  💰 5300ብር


    📲 0909522840
    📲 0923350054


አድራሻ  ቁ.1👉 ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214

👍ለቡ ቅርንጫፍ📲0973611819

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
-1.0012E+12,2024-09-25 16:09:48+00:00,"#አልቆል_ለተባላችሁ_በድጋሚ_አስገብተናል 
📣 IMPULSE SEALER

✔️ የላስቲክ ማሸጊያ
✔️ በኤሌክትሪክ የሚሰራ
✔️ለባልትና  ነጋዴዎች አስፈላጊ ዕቃ
  
      ዋጋ:-20cm ስፋት👉1900ብር
             30cm ስፋት 👉 2100 ብር
             

አድራሻ  ቁ.1👉 ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214

👍ለቡ ቅርንጫፍ📲0973611819


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
-1.0012E+12,2024-09-25 05:48:37+00:00,"💥 Feenik Vacuum Jug 

        💯 Hight Qulity 
  

✨ከጠንካራ Material የተሰራ
✨ለረጅም ሰአት ሙቀትን ጠብቆ ማቆየት የሚችል 


☑️ #Brand: #Feenik
⚡️Capacity: 1.5L and 2L
⚡️24Hr COLD
⚡️12Hr HOT

#FUNCTION:
✔️Fashionable,beautiful, durable and easy to use.
✔️Suitable for liquid drinks, like hot water, coffee, tea and etc.
✔️Ideal to the home, office, hotel, and outdoor use.


         ዋጋ፦ 1.5L  2000 ብር﻿
                   2.0L 2200ብር

🏢 አድራሻ  ቁ.1👉 ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214

👍ለቡ ቅርንጫፍ📲0973611819



    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
-1.0012E+12,2024-09-24 19:33:28+00:00,"💥Saachi®👚👔 አነስተኛ የልብስ  ማጠቢያ ማሽን👔

👉 ለቲሸርት: ለጂንስ : ለሹራብ:ለአንሶላ 
👉በጠቅላላው እስከ 2.5 kg የሚመዝን ልብስ በአንድ ጊዜ ማጠብ የሚችል
👉የራሱ መጭመቂያ ያለው
👉አንድ አመት ዋስትና ያለው
👉አነስተኛ የኤሌክትሪክ ፍጆታ( ሀይል ቆጣቢ)
ከቦታ ቦታ 
በቀላሉ ተንቀሳቃሽ፡ በጠባብ ቦታ መቀመጥ የሚችል

    ዋጋ፦  💰  9000ብር

❌ውስን ፍሬ ነው ያለዉ

   አድራሻ  ቁ.1👉 ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214

👍ለቡ ቅርንጫፍ📲0973611819


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
-1.0012E+12,2024-09-24 12:57:53+00:00,"🌟4pcs travel squeeze bottle

⚡️For:-shampoo,conditioner,cream,lotion,shower gel,liquid soap....etc 

⚡️size:-90ml

⚡leakproof️

        ዋጋ:-600ብር✅

🏢 አድራሻ  👉 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214

👍ለቡ ቅርንጫፍ📲0973611819



     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
-1.0012E+12,2024-09-24 12:56:53+00:00,"🌟4pcs travel squeeze bottle

⚡️For:-shampoo,conditioner,cream,lotion,shower gel,liquid soap....etc 

⚡️size:-90ml

⚡leakproof️

        ዋጋ:-600ብር✅

⚡️ውስን ፍሬ ነው ያለን

🏢 አድራሻ  👉 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214

👍ለቡ ቅርንጫፍ📲0973611819


     💧💧💧💧


    


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
-1.0012E+12,2024-09-24 11:42:30+00:00,"🌟 #ልዩ_ቅናሽ🌟
📌🔥🥞🔥 Wass Metad ዋስ ምጣድ 🔥🥞

⚡️  16 inch(41 cm)  ስፋት
⚡️  ሙሉ በሙሉ ዲጂታል
⚡️ ሟሟሸት ማሰስ የማይፈልግ

🧆ለእንጀራ

🍕ለፒዛ 

🫓 ለቆጮ

🥟 ለአንባሻ

🥞ለፓን ኬክ

🥩 ለጥብሳጥብስ

🌮ለቂጣ ዘሮች በሙሉ መዋል ይችላል::

         ዋጋ፦13,400✅

                 

 ♦️ውስን ፍሬ ነው ያለው

🏢 አድራሻ ቁ.1 👉 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)
📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214

👍ለቡ ቅርንጫፍ📲0973611819


     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
